PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone
1,0,2,male,29.5,0,1,4.66,S,2,0
2,1,3,female,35.2,0,0,5.75,S,1,1
3,1,3,male,29.5,0,1,19.16,S,2,0
4,1,3,male,26.9,0,0,3.36,S,1,1
5,0,3,male,40.3,0,0,13.11,C,1,1
6,0,2,male,46.3,0,0,23.99,S,1,1
7,1,1,male,7.6,1,1,106.88,S,3,0
8,1,3,male,20.6,1,1,15.23,Q,3,0
9,1,3,female,40.5,1,0,14.48,S,2,0
10,0,3,male,22.5,1,0,10.18,S,2,0
11,0,1,male,17.8,1,0,24.55,S,2,0
12,0,3,male,43.3,1,1,13.62,C,3,0
13,1,2,male,10.9,0,2,29.94,Q,3,0
14,0,3,male,24.8,0,0,9.05,Q,1,1
15,0,3,male,33.6,0,1,17.73,C,2,0
16,0,1,male,21.0,0,0,138.37,S,1,1
17,1,3,male,29.5,1,0,8.52,S,2,0
18,0,2,male,21.0,0,0,15.02,S,1,1
19,0,3,male,29.5,0,0,7.73,S,1,1
20,1,2,female,27.2,1,1,15.34,S,3,0
21,0,3,female,38.4,0,0,17.01,S,1,1
22,0,1,male,29.5,1,0,25.85,S,2,0
23,0,3,male,20.2,0,2,9.15,C,3,0
24,0,3,male,0.4,0,0,7.03,S,1,1
25,0,3,male,34.1,1,1,10.95,S,3,0
26,1,1,male,30.0,0,1,18.14,S,2,0
27,0,3,male,36.8,0,0,3.91,S,1,1
28,0,1,male,25.8,0,0,32.09,S,1,1
29,0,3,female,23.0,1,0,26.78,S,2,0
30,0,2,male,29.5,0,0,11.89,S,1,1
31,0,3,male,29.5,0,2,4.37,C,3,0
32,0,1,male,39.3,2,0,77.43,Q,3,0
33,1,1,female,21.0,1,0,25.21,S,2,0
34,1,2,female,24.3,0,0,24.95,S,1,1
35,1,2,male,24.6,0,0,9.14,S,1,1
36,1,1,female,29.5,0,0,24.68,Q,1,1
37,1,3,male,37.0,1,0,18.92,S,2,0
38,1,3,female,48.5,0,0,8.83,S,1,1
39,1,3,female,35.6,0,1,8.9,C,2,0
40,0,3,male,30.4,0,1,3.34,S,2,0
41,1,1,female,15.2,1,0,39.34,S,2,0
42,1,3,male,36.2,0,1,5.1,S,2,0
43,0,1,male,59.2,1,0,48.03,S,2,0
44,0,3,male,23.7,1,0,9.22,S,2,0
45,1,2,female,29.5,2,0,16.86,S,3,0
46,0,2,male,21.1,0,0,22.5,C,1,1
47,0,2,male,29.5,0,1,17.73,S,2,0
48,1,3,female,29.5,0,0,22.9,S,1,1
49,1,1,male,34.7,0,1,62.55,S,2,0
50,0,3,male,17.2,0,0,3.93,C,1,1
51,1,1,male,6.5,1,0,22.14,S,2,0
52,0,3,male,39.5,0,0,13.49,S,1,1
53,0,3,male,13.9,0,0,4.64,S,1,1
54,0,2,male,24.3,0,0,5.52,C,1,1
55,0,3,female,29.5,1,0,5.18,S,2,0
56,1,3,female,9.3,1,1,7.62,S,3,0
57,0,3,male,7.5,0,1,3.0,S,2,0
58,0,3,male,32.8,0,0,4.19,C,1,1
59,0,3,male,29.5,1,0,3.0,S,2,0
60,0,3,male,7.0,0,1,16.25,S,2,0
61,0,1,male,29.5,0,0,42.9,C,1,1
62,0,3,male,37.1,1,0,9.65,Q,2,0
63,1,2,female,0.4,0,0,15.03,S,1,1
64,0,1,male,40.2,0,0,34.02,Q,1,1
65,0,3,male,41.3,2,2,4.49,S,5,0
66,1,2,female,24.6,1,2,30.02,S,4,0
67,1,1,female,46.5,0,0,25.94,C,1,1
68,1,3,male,44.9,2,1,14.16,S,4,0
69,0,3,female,30.4,0,0,13.82,S,1,1
70,0,3,male,29.5,1,0,11.25,S,2,0
71,1,3,female,15.4,1,0,9.85,S,2,0
72,1,3,male,28.5,0,0,9.42,S,1,1
73,1,1,female,37.0,0,0,23.62,C,1,1
74,0,2,female,24.5,0,0,18.91,C,1,1
75,1,3,female,0.4,0,1,9.24,S,2,0
76,1,2,female,46.8,0,1,10.57,S,2,0
77,0,3,male,31.7,2,0,11.77,Q,3,0
78,0,3,male,23.7,0,0,9.66,S,1,1
79,0,2,male,41.0,0,0,29.25,S,1,1
80,1,3,female,29.5,0,0,3.0,S,1,1
81,1,3,female,0.4,0,1,8.35,S,2,0
82,1,3,male,29.5,0,1,5.29,S,2,0
83,1,3,female,9.0,0,0,5.99,S,1,1
84,1,3,female,36.0,0,0,11.43,S,1,1
85,0,1,female,30.8,0,0,10.36,S,1,1
86,1,3,female,37.9,1,0,8.85,S,2,0
87,1,3,male,22.0,4,0,8.32,C,5,0
88,0,3,male,29.5,0,0,4.35,C,1,1
89,0,3,male,22.7,0,0,8.98,S,1,1
90,0,3,male,34.7,3,0,5.17,S,4,0
91,0,2,male,43.2,1,0,52.9,Q,2,0
92,1,3,female,12.6,0,0,16.8,S,1,1
93,0,3,female,43.4,1,1,8.5,C,3,0
94,0,1,male,19.9,1,0,18.93,S,2,0
95,0,1,male,34.1,1,0,33.2,Q,2,0
96,0,3,male,21.9,3,0,12.94,S,4,0
97,0,3,male,31.6,1,1,9.51,S,3,0
98,1,3,male,41.5,0,0,4.44,S,1,1
99,1,3,male,11.8,0,0,7.2,S,1,1
100,0,3,male,19.5,1,1,8.56,S,3,0
101,0,3,male,29.5,1,1,9.72,S,3,0
102,0,3,male,62.6,0,0,9.86,C,1,1
103,1,1,female,16.9,1,1,38.03,S,3,0
104,0,3,male,29.5,1,1,18.27,S,3,0
105,1,3,male,29.5,0,0,14.99,S,1,1
106,0,3,male,27.6,0,1,11.64,S,2,0
107,0,3,female,24.8,0,0,3.84,S,1,1
108,0,3,male,19.3,0,1,16.64,S,2,0
109,0,1,male,28.0,0,0,40.1,S,1,1
110,0,2,female,9.3,0,2,12.14,S,3,0
111,0,1,male,27.9,0,0,24.97,S,1,1
112,1,1,female,50.0,0,2,25.52,S,3,0
113,0,3,male,20.4,1,0,6.28,S,2,0
114,0,1,male,29.5,1,0,8.59,S,2,0
115,0,2,male,5.2,1,0,7.24,Q,2,0
116,0,3,male,34.2,0,2,4.74,S,3,0
117,0,3,male,32.7,1,0,3.0,S,2,0
118,1,1,male,29.9,2,0,12.58,S,3,0
119,0,3,male,29.5,1,1,16.2,S,3,0
120,0,3,male,24.9,0,0,10.93,S,1,1
121,1,1,male,36.0,0,0,13.7,S,1,1
122,0,2,female,28.6,1,0,9.37,Q,2,0
123,0,3,male,33.4,1,0,17.07,Q,2,0
124,1,3,male,32.0,0,1,16.82,C,2,0
125,0,3,male,44.7,1,0,8.52,S,2,0
126,0,1,female,38.5,1,0,49.64,S,2,0
127,0,2,male,31.7,0,1,8.94,S,2,0
128,0,3,male,50.3,0,0,9.36,Q,1,1
129,0,1,male,34.9,1,2,10.13,S,4,0
130,1,3,male,29.5,0,0,6.56,S,1,1
131,0,3,female,37.5,0,0,8.3,S,1,1
132,1,2,female,3.2,0,0,5.15,S,1,1
133,1,3,male,47.3,0,0,11.66,Q,1,1
134,0,3,male,30.9,0,1,12.89,S,2,0
135,1,2,female,28.3,1,1,25.96,S,3,0
136,0,3,male,29.5,1,0,33.13,S,2,0
137,1,1,female,24.2,0,1,31.5,C,2,0
138,0,3,female,32.2,0,0,7.86,S,1,1
139,1,1,male,20.7,1,0,9.38,C,2,0
140,1,1,female,46.8,0,0,31.04,S,1,1
141,1,3,male,27.4,0,0,11.42,C,1,1
